CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,BLKADDR,City,State,Latitude,Longitude
15057472,VEHICLE STOLEN,42276,0.010416667,MOTOR VEHICLE THEFT,2,42287.14598,2600 DANA ST,Berkeley,CA,37.863072,-122.260352
15057586,THEFT MISD. (UNDER $950),42276,0.680555556,LARCENY,2,42287.14598,2000 UNIVERSITY AVE,Berkeley,CA,37.871822,-122.270562
15057998,VEHICLE RECOVERED,42276,0.665972222,RECOVERED VEHICLE,2,42287.14598,2100 RUSSELL ST,Berkeley,CA,37.856719,-122.266672
15057941,VEHICLE STOLEN,42276,0.6875,MOTOR VEHICLE THEFT,2,42287.14598,1400 ALLSTON WAY,Berkeley,CA,37.867117,-122.283641
15057604,THEFT MISD. (UNDER $950),42276,0.743055556,LARCENY,2,42287.14598,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
15091797,THEFT MISD. (UNDER $950),42276,0.979166667,LARCENY,2,42287.14598,2200 EUNICE ST,Berkeley,CA,37.885934,-122.267691
15057520,THEFT MISD. (UNDER $950),42276,0.5,LARCENY,2,42287.14598,ALLSTON WAY & HAROLD WAY,Berkeley,CA,37.8692,-122.269308
15057527,THEFT MISD. (UNDER $950),42276,0.513888889,LARCENY,2,42287.14598,2500 TELEGRAPH AVE,Berkeley,CA,37.864827,-122.258577
15057433,NARCOTICS,42276,0.073611111,DRUG VIOLATION,2,42287.14598,1100 UNIVERSITY AVE,Berkeley,CA,37.869067,-122.292043
15057708,BURGLARY COMMERCIAL,42276,0.802083333,BURGLARY - COMMERCIAL,2,42287.14598,3000 CLAREMONT AVE,Berkeley,CA,37.855823,-122.247116
15091813,BURGLARY AUTO,42276,0.708333333,BURGLARY - VEHICLE,2,42287.14598,1000 GILMAN ST,Berkeley,CA,37.880139,-122.2975
15057583,THEFT MISD. (UNDER $950),42276,0.583333333,LARCENY,2,42287.14598,2000 ALLSTON WAY,Berkeley,CA,37.869057,-122.270463
15057517,NARCOTICS,42276,0.494444444,DRUG VIOLATION,2,42287.14598,1800 ADDISON ST,Berkeley,CA,37.870298,-122.275101
15057439,BURGLARY COMMERCIAL,42276,0.145833333,BURGLARY - COMMERCIAL,2,42287.14598,1700 PRINCE ST,Berkeley,CA,37.852136,-122.273695
15057563,THEFT FROM AUTO,42276,0.333333333,LARCENY - FROM VEHICLE,2,42287.14598,FAIRVIEW STREET & ADELINE ST,Berkeley,CA,37.850681,-122.270619
15057463,THEFT FROM AUTO,42276,0.320138889,LARCENY - FROM VEHICLE,2,42287.14598,2000 CENTER ST,Berkeley,CA,37.869973,-122.270557
